Size (Acres),City,County,State,Price,Notes,Link,Property ID
205,Fishtail,Stillwater County,MT,"$849,000",,/Stillwater-County-Montana-Land-for-sale/pid/330180345,330180345
20.09,Roundup,Musselshell County,MT,"$34,900",,/Musselshell-County-Montana-Land-for-sale/pid/322609967,322609967
54,Joliet,Carbon County,MT,"$485,000",,/Carbon-County-Montana-Land-for-sale/pid/25007810,25007810
24,Other,Yellowstone County,MT,"$60,000",,/Yellowstone-County-Montana-Land-for-sale/pid/330448045,330448045
35,McLeod,Sweet Grass County,MT,"$1,195,000",,/Sweet-Grass-County-Montana-Land-for-sale/pid/326932389,326932389
40,Big Timber,Sweet Grass County,MT,"$1,495,000",,/Sweet-Grass-County-Montana-Land-for-sale/pid/327610504,327610504
20.01,Boulder,Jefferson County,MT,"$97,500",,/Jefferson-County-Montana-Land-for-sale/pid/331354980,331354980
575,Other,Teton County,MT,"$660,000",,/Teton-County-Montana-Land-for-sale/pid/2485845,2485845
54.35,Miles City,Custer County,MT,"$375,000",,/Custer-County-Montana-Land-for-sale/pid/27249298,27249298
20,Other,Lincoln County,MT,"$110,000",,/Lincoln-County-Montana-Land-for-sale/pid/60003202,60003202
12.36,Seeley Lake,Missoula County,MT,"$195,000",,/Missoula-County-Montana-Land-for-sale/pid/1753026,1753026
80,Bozeman,Gallatin County,MT,"$775,000",,/Gallatin-County-Montana-Land-for-sale/pid/326420697,326420697
1200,Deer Lodge,Powell County,MT,"$3,450,000",,/Powell-County-Montana-Land-for-sale/pid/327610610,327610610
1.97,Other,Flathead County,MT,"$39,800",,/Flathead-County-Montana-Land-for-sale/pid/331154788,331154788
22,Other,Missoula County,MT,"$191,930",,/Missoula-County-Montana-Land-for-sale/pid/330995229,330995229
2,Other,Lincoln County,MT,"$55,000",,/Lincoln-County-Montana-Land-for-sale/pid/327344265,327344265
20,Stites,Idaho County,ID,"$130,000",,/Idaho-County-Idaho-Land-for-sale/pid/25081940,25081940
19.1,Kooskia,Idaho County,ID,"$120,000",,/Idaho-County-Idaho-Land-for-sale/pid/25074677,25074677
2.5,Stites,Idaho County,ID,"$165,000",,/Idaho-County-Idaho-Land-for-sale/pid/25081947,25081947
480,McCall,Valley County,ID,"$750,000",,/Valley-County-Idaho-Land-for-sale/pid/27158619,27158619
6.98,Council,Adams County,ID,"$45,750",,/Adams-County-Idaho-Land-for-sale/pid/331267504,331267504
230,Mink Creek,Franklin County,ID,"$3,995,000",,/Franklin-County-Idaho-Land-for-sale/pid/330284475,330284475
3800,Oreana,Owyhee County,ID,"$4,900,000",,/Owyhee-County-Idaho-Land-for-sale/pid/27158616,27158616
6.43,Kooskia,Idaho County,ID,"$60,000",,/Idaho-County-Idaho-Land-for-sale/pid/25090586,25090586
1.16,Council,Adams County,ID,"$29,000",,/Adams-County-Idaho-Land-for-sale/pid/326735892,326735892
383,Freedom,ID,"$1,750,000",,,/Idaho-Land-for-sale/pid/25073821,25073821
3330,McCall,Adams County,ID,"$4,850,000",,/Adams-County-Idaho-Land-for-sale/pid/27158611,27158611
1.16,Kooskia,Idaho County,ID,"$250,000",,/Idaho-County-Idaho-Land-for-sale/pid/270133250,270133250
1.15,Cottonwood,Idaho County,ID,"$72,000",,/Idaho-County-Idaho-Land-for-sale/pid/3094385,3094385
55.18,Council,Adams County,ID,"$139,000",,/Adams-County-Idaho-Land-for-sale/pid/327373142,327373142
9.62,Kooskia,Idaho County,ID,"$93,000",,/Idaho-County-Idaho-Land-for-sale/pid/25086791,25086791
.99,Kooskia,Idaho County,ID,"$45,000",,/Idaho-County-Idaho-Land-for-sale/pid/25090580,25090580
26.7,Kooskia,Idaho County,ID,"$110,000",,/Idaho-County-Idaho-Land-for-sale/pid/25086968,25086968
20,Council,Adams County,ID,"$149,000",,/Adams-County-Idaho-Land-for-sale/pid/331475046,331475046
24.54,Cottonwood,Idaho County,ID,"$175,000",,/Idaho-County-Idaho-Land-for-sale/pid/4414073,4414073
